effective_date,added_ticker,added_security,removed_ticker,removed_security,reason
2022-10-03,EQT,EQT Corporation,DRE,Duke Realty,S&P 500 constituent Prologis Inc. acquired Duke Realty.
2022-09-19,CSGP,CoStar Group,PVH,PVH,Market capitalization change.
2022-09-19,INVH,Invitation Homes,PENN,Penn Entertainment,Market capitalization change.
2022-06-21,,,UA,Under Armour (Class C),Market capitalization change.
2022-06-21,KDP,Keurig Dr Pepper,UAA,Under Armour (Class A),Market capitalization change.
2022-06-21,ON,ON Semiconductor,IPGP,IPG Photonics,Market capitalization change.
2022-06-08,VICI,Vici Properties,CERN,Cerner,S&P 500 constituent Oracle Corp. acquired Cerner.
2022-04-11,WBD,Warner Bros. Discovery,DISCA,"Discovery, Inc.",WarnerMedia and Discovery merge to create Warner Bros. Discovery.
2022-04-11,,,DISCK,"Discovery, Inc.",WarnerMedia and Discovery merge to create Warner Bros. Discovery.
2022-04-04,CPT,Camden Property Trust,PBCT,People's United Financial,S&P 500 constituent M&T Bank Corp. acquired People's United Financial.
2022-03-02,MOH,Molina Healthcare,INFO,IHS Markit,S&P 500 constituent S&P Global Inc. acquired IHS Markit.
2022-02-15,NDSN,Nordson Corporation,XLNX,Xilinx,S&P 500 constituent Advanced Micro Devices acquired Xilinx.
2022-02-03,,,GPS,Gap,Market capitalization change.
2022-02-02,CEG,Constellation Energy,,,S&P 500 and 100 constituent Exelon Corp. spun off Constellation Energy.
2021-12-20,SBNY,Signature Bank,LEG,Leggett & Platt,Market capitalization change.
2021-12-20,SEDG,SolarEdge,HBI,Hanesbrands,Market capitalization change.
2021-12-20,FDS,FactSet,WU,Western Union,Market capitalization change.
2021-12-14,EPAM,EPAM Systems,KSU,Kansas City Southern,Canadian Pacific acquired Kansas City Southern.
2021-09-20,MTCH,Match Group,PRGO,Perrigo,Market capitalization change.
2021-09-20,BRO,Brown & Brown,NOV,Nov,Market capitalization change.
2021-09-20,CDAY,Ceridian,UNM,Unum,Market capitalization change.
2021-08-30,TECH,Bio-Techne,MXIM,Maxim Integrated,S&P 500 constituent Analog Devices acquired Maxim Integrated Products.
2021-07-21,MRNA,Moderna,ALXN,Alexion Pharmaceuticals,AstraZeneca acquired Alexion Pharmaceuticals.
2021-06-04,,,HFC,HollyFrontier,Market capitalization change.
2021-06-03,OGN,Organon & Co.,,,S&P 500/100 constituent Merck & Co. spun off Organon.
2021-05-14,CRL,Charles River Laboratories,FLIR,FLIR Systems,S&P 500 constituent Teledyne Technologies acquired FLIR Systems.
2021-04-20,PTC,PTC,VAR,Varian Medical Systems,Siemens Healthineers acquired Varian Medical Systems.
2021-03-22,GNRC,Generac Holdings,XRX,Xerox,Market capitalization change.
2021-03-22,CZR,Caesars Entertainment,VNT,Vontier,Market capitalization change.
2021-03-22,NXPI,NXP,FLS,Flowserve,Market capitalization change.
2021-03-22,PENN,Penn National Gaming,SLG,SL Green Realty,Market capitalization change.
2021-02-12,MPWR,Monolithic Power Systems,FTI,TechnipFMC,Removed in anticipation of announced spin-off.
2021-01-21,TRMB,Trimble,CXO,Concho Resources,S&P 500/100 constituent ConocoPhillips acquired Concho Resources.
2021-01-07,ENPH,Enphase Energy,TIF,Tiffany & Co,LVMH acquired Tiffany & Co.
2020-12-21,TSLA,Tesla,AIV,Apartment Investment & Management,Aimco spun off Apartment Income REIT.
2020-10-12,,,NBL,Noble Energy,Chevron acquired Noble Energy.
2020-10-09,VNT,Vontier,,,S&P 500 constituent Fortive spun off Vontier.
2020-10-07,POOL,Pool Corporation,ETFC,E-Trade,Morgan Stanley acquired E*Trade.
2020-09-21,TER,Teradyne,COTY,Coty,Market capitalization change.
2020-09-21,CTLT,Catalent,KSS,Kohl's,Market capitalization change.
2020-09-21,ETSY,Etsy,HRB,H&R Block,Market capitalization change.
2020-06-22,BIO,Bio-Rad Laboratories,ADS,Alliance Data Systems,Market capitalization change.
2020-06-22,TDY,Teledyne,HOG,Harley-Davidson,Market capitalization change.
2020-06-22,TYL,Tyler Technologies,JWN,Nordstrom,Market capitalization change.
2020-05-22,WST,West Pharmaceutical Services,HP,Helmerich & Payne,Market capitalization change.
2020-05-12,DPZ,Domino's Pizza,CPRI,Capri Holdings,Market capitalization change.
2020-05-12,DXCM,Dexcom,AGN,Allergan,Allergan acquired by AbbVie.
2020-04-06,,,M,Macy's,Market capitalization change.
2020-04-06,,,RTN,Raytheon Company,United Technologies spun off Otis and Carrier and acquired Raytheon Company.
2020-04-03,OTIS,Otis Worldwide,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.
2020-04-03,CARR,Carrier,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.
2020-04-01,HWM,Howmet Aerospace,ARNC,Arconic,Arconic separated into 2 companies - Howmet remained on the index.
2020-03-02,IR,Ingersoll Rand,XEC,Cimarex Energy,Gardner Denver acquired Ingersoll Rand's industrial businesses then changed its name.
2020-01-28,PAYC,Paycom,WCG,WellCare,S&P 500 constituent Centene Corp. acquired Wellcare Health Plans.
2019-12-23,LYV,Live Nation Entertainment,AMG,Affiliated Managers Group,Market capitalization change.
2019-12-23,ZBRA,Zebra Technologies,TRIP,TripAdvisor,Market capitalization change.
2019-12-23,STE,Steris,MAC,Macerich,Market capitalization change.
2019-12-09,ODFL,Old Dominion Freight Line,STI,SunTrust Banks,BB&T acquired SunTrust to form Truist Financial.
2019-12-05,WRB,W. R. Berkley Corporation,VIAB,Viacom,CBS acquired Viacom to form ViacomCBS.
2019-11-21,NOW,ServiceNow,CELG,Celgene,Bristol-Myers Squibb acquired Celgene.
2019-10-03,LVS,Las Vegas Sands,NKTR,Nektar Therapeutics,Market capitalization change.
2019-09-26,NVR,NVR,JEF,Jefferies Financial Group,JEF spun off SPB.
2019-09-23,CDW,CDW Corporation,TSS,TSYS,S&P 500 constituent Global Payments acquired TSS.
2019-08-09,LDOS,Leidos,APC,Anadarko Petroleum,S&P 500 & 100 constituent Occidental Petroleum Corp. acquired Anadarko.
2019-08-09,IEX,IDEX Corporation,FL,Foot Locker,Market capitalization change.
2019-07-15,TMUS,T-Mobile US,RHT,Red Hat,S&P 500 & 100 constituent IBM acquired Red Hat.
2019-07-01,MKTX,MarketAxess,LLL,L3 Technologies,L3 purchased by Harris Corporation
2019-06-11,AMCR,Amcor,BMS,Bemis,BMS changed to AMCR post merger with Amcor; subsequently renamed to Amcor
2019-06-07,BMS,Bemis,MAT,Mattel,Pending merger of Bemis and Amcor; Bemis treated as the surviving entity.
2019-06-03,DD,DuPont,DWDP,DuPont,DWDP changed to DD after spinning off Corteva.
2019-06-03,CTVA,Corteva,FLR,Fluor Corporation,CTVA spun off from DWDP (which then changed symbol to DD)
2019-04-02,DOW,Dow,BHF,Brighthouse Financial,DOW spun off from DWDP
2019-03-19,FOX,Fox Corporation,FOX,21st Century Fox,21st Century Fox merged with Disney and spun off Fox Corporation.
2019-03-19,FOXA,Fox Corporation,FOXA,21st Century Fox,21st Century Fox merged with Disney and spun off Fox Corporation.
2019-02-27,WAB,Wabtec,GT,The Goodyear Tire & Rubber Company,WAB acquired GE transportation business
2019-02-15,ATO,Atmos Energy,NFX,Newfield Exploration,ECA acquired NFX
2019-01-18,TFX,Teleflex,PCG,Pacific Gas & Electric Company,PCG filed for bankruptcy
2019-01-02,FRC,First Republic Bank,SCG,SCANA,Dominion Energy acquired SCANA Corporation
2018-12-24,CE,Celanese,ESRX,Express Scripts,S&P 500 constituent Cigna acquired ESRX
2018-12-03,LW,Lamb Weston,COL,Rockwell Collins,UTX acquired COL
2018-12-03,MXIM,Maxim Integrated,AET,Aetna,CVS acquired Aetna
2018-12-03,FANG,Diamondback Energy,SRCL,Stericycle,Market Capitalization change
2018-11-13,JKHY,Jack Henry & Associates,EQT,EQT Corporation,EQT spun off ETRN
2018-11-06,KEYS,Keysight,CA,CA Technologies,CA acquired by Broadcom
2018-10-11,FTNT,Fortinet,EVHC,Envision Healthcare,EVHC acquired by KKR
2018-10-01,ROL,Rollins,ANDV,Andeavor,ANDV acquired by Marathon Petroleum
2018-09-14,WCG,WellCare,XL,XL Group,XL acquired by Axa
2018-08-28,ANET,Arista Networks,GGP,GGP,GGP acquired by Brookfield Property Partners
2018-07-02,CPRT,Copart,DPS,Dr Pepper Snapple Group,DPS acquired by Keurig Green Mountain
2018-06-20,FLT,FleetCor Technologies,TWX,Time Warner,AT&T acquired Time Warner
2018-06-18,BR,Broadridge Financial Solutions,RRC,Range Resources,Market capitalization change
2018-06-18,HFC,HollyFrontier,AYI,Acuity Brands,Market capitalization change
2018-06-07,TWTR,Twitter,MON,Monsanto,Bayer acquired Monsanto
2018-06-05,EVRG,Evergy,NAVI,Navient,Westar Energy acquired Great Plains Energy and changed name
2018-05-31,ABMD,Abiomed,WYN,Wyndham Worldwide,Wyndham spun off Wyndham Hotels & Resorts
2018-04-04,MSCI,MSCI,CSRA,CSRA,General Dynamics acquired CSRA
2018-03-19,TTWO,Take-Two Interactive,SIG,Signet Jewelers,Market capitalization change
2018-03-19,SIVB,SVB Financial Group,PDCO,Patterson Companies,Market capitalization change
2018-03-19,NKTR,Nektar Therapeutics,CHK,Chesapeake Energy,Market capitalization change
2018-03-07,IPGP,IPG Photonics,SNI,Scripps Networks Interactive,Discovery Communications acquired SNI
2018-01-03,HII,Huntington Ingalls Industries,BCR,CR Bard,Becton Dickinson acquired BCR
2017-10-13,NCLH,Norwegian Cruise Line Holdings,LVLT,Level 3 Communications,CenturyLink acquired LVLT
2017-09-18,CDNS,Cadence Design Systems,SPLS,Staples,Sycamore Partners acquired Staples
2017-09-01,DWDP,DuPont,DOW,Dow Chemical Company,Dow renamed DowDuPont; ticker changed from DOW
2017-09-01,SBAC,SBA Communications,DD,DuPont,Dow Chemical Company acquired DuPont
2017-08-29,Q,QuintilesIMS,WFM,Whole Foods Market,Amazon acquired Whole Foods Market
2017-08-08,BHF,Brighthouse Financial,AN,AutoNation,"BHF replaced AN, MET spun off BHF"
2017-07-26,DRE,Duke Realty Corp,RIG,Transocean,Market capitalization change
2017-07-26,AOS,A. O. Smith,BBBY,Bed Bath & Beyond,Market capitalization change
2017-07-26,PKG,Packaging Corporation of America,MUR,Murphy Oil,Market capitalization change
2017-07-26,RMD,ResMed,MNK,Mallinckrodt,Market capitalization change
2017-07-26,MGM,MGM Resorts International,RAI,Reynolds American,British American Tobacco acquired Reynolds American
2017-07-07,BKR,Baker Hughes,BHI,Baker Hughes,Baker Hughes merged with GE Oil & Gas
2017-06-19,HLT,Hilton,YHOO,Yahoo!,VZ acquired YHOO operations
2017-06-19,ALGN,Align Technology,TDC,Teradata,Market capitalization changes
2017-06-19,ANSS,Ansys,R,Ryder System,Market capitalization changes
2017-06-19,RE,Everest Re,MJN,Mead Johnson,Reckitt Benckiser acquired Mead Johnson Nutrition
2017-06-02,INFO,IHS Markit,TGNA,Tegna,TGNA spins off Cars.com
2017-04-05,IT,Gartner,DNB,Dun & Bradstreet,IT acquiring CEB
2017-04-04,DXC,DXC Technology,SWN,Southwestern Energy,"HPE spins off Everett, merged with CSC to form DXC"
2017-03-20,AMD,Advanced Micro Devices,URBN,Urban Outfitters,Market capitalization change
2017-03-20,RJF,Raymond James Financial,FTR,Frontier Communications,Market capitalization change
2017-03-20,ARE,Alexandria Real Estate Equities,FSLR,First Solar,Market capitalization change
2017-03-16,SNPS,Synopsys,HAR,Harman International,Samsung Electronics acquired Harman
2017-03-13,DISH,Dish Network,LLTC,Linear Technology,Analog Devices acquired Linear Technology
2017-03-02,REG,Regency Centers,ENDP,Endo International,REG acquires EQY
2017-03-01,CBOE,Cboe Holdings,PBI,Pitney Bowes,CBOE acquires BATS
2017-02-28,INCY,Incyte,SE,Spectra Energy,SE acquired by ENB
2017-01-05,IDXX,Idexx Laboratories,STJ,St Jude Medical,Abbott Laboratories acquired St. Jude Medical
2016-12-02,MAA,Mid-America Apartments,OI,Owens-Illinois,Market capitalization change
2016-12-02,EVHC,Envision Healthcare,LM,Legg Mason,Market capitalization change
2016-11-01,ARNC,Arconic,AA,Alcoa,AA spins off ARNC
2016-09-30,COTY,Coty,DO,Diamond Offshore Drilling,COTY replaces DO
2016-09-22,COO,The Cooper Companies,HOT,Starwood,MAR acquires HOT
2016-09-08,CHTR,Charter Communications,EMC,EMC Corporation,Dell acquires EMC
2016-09-06,MTD,Mettler Toledo,TYC,Tyco International,TYC acquires JCI (retains JCI ticker)
2016-07-05,FTV,Fortive Corp,CPGX,Columbia Pipeline Group,CPGX acquired by TRP
2016-07-01,LNT,Alliant Energy Corp,GAS,AGL Resources,GAS acquired by SO
2016-07-01,ALB,Albemarle Corporation,TE,TECO Energy,TE acquired by EMA
2016-06-22,FBHS,Fortune Brands Home & Security,CVC,Cablevision Systems,CVC acquired by Altice NV
2016-06-03,TDG,TransDigm Group,BXLT,Baxalta,SHPG acquiring BXLT
2016-05-31,AJG,Arthur J. Gallagher & Co.,CCE,Coca-Cola Enterprises,CCE merging with European bottlers
2016-05-23,LKQ,LKQ Corporation,ARG,Airgas,ARG acquired by Air Liquide
2016-05-18,DLR,Digital Realty,TWC,Time Warner Cable,TWC acquired by CHTR
2016-05-13,ALK,Alaska Air Group,SNDK,SanDisk,SNDK acquired by WDC
2016-05-03,AYI,Acuity Brands,ADT,ADT,ADT acquired by APO
2016-04-25,GPN,Global Payments,GME,GameStop,Global Payments acquiring Heartland Payment Systems
2016-04-18,ULTA,Ulta Beauty,THC,Tenet Healthcare,Ulta replaces Tenet
2016-04-08,UA,Under Armour (Class C),,,Under Armour distribution of second class of stock
2016-04-04,FL,Foot Locker,CAM,Cameron International,Schlumberger acquired Cameron
2016-03-30,CNC,Centene Corporation,ESV,Ensco,Centene acquired Health Net
2016-03-30,HOLX,Hologic,POM,Pepco Holdings,Exelon acquired Pepco
2016-03-07,UDR,UDR,GMCR,Keurig Green Mountain,JAB Holding acquired Keurig Green Mountain
2016-03-04,AWK,American Water Works,CNX,Consol Energy,AWK replaces CNX
2016-02-22,CXO,Concho Resources,PCL,Plum Creek Timber,PCL taken over by WY
2016-02-01,CFG,Citizens,PCP,Precision Castparts Corporation,CFG replaces PCP
2016-02-01,FRT,Federal Realty Investment Trust,BRCM,Broadcom Corporation,FRT replaces BRCM
2016-01-19,EXR,Extra Space Storage,ACE,Chubb,EXR replaces ACE as ACE Ltd acquires Chubb
2016-01-05,WLTW,Willis Towers Watson,FOSL,Fossil Group,WSH merges with TW (renames WLTW)
2015-12-29,CHD,Church & Dwight,ALTR,Altera,ALTR taken over by INTC
2015-12-15,,,CMCSK,Comcast K Corp,CMCSK shares no longer listed
2015-12-01,CSRA,CSRA,CSC,Computer Sciences Corporation,CSC spins off CSRA
2015-11-19,ILMN,Illumina,SIAL,Sigma-Aldrich,Sigma-Aldrich acquired by Merck KGaA
2015-11-18,SYF,Synchrony Financial,GNW,Genworth Financial,GE spinning off Synchrony Financial
2015-11-02,HPE,Hewlett Packard Enterprise,HCBK,Hudson City Bancorp,HPQ spins off HPE
2015-10-07,VRSK,Verisk Analytics,JOY,Joy Global,Market capitalization change
2015-09-18,CMCSK,Comcast Class K Special,,,Share class methodology change
2015-09-18,FOX,Twenty-First Century Fox Class B,,,Share class methodology change
2015-09-18,NWS,News Corporation Class B,,,Share class methodology change
2015-09-02,UAL,United Continental Holdings,HSP,Hospira,Hospira taken over
2015-08-28,ATVI,Activision Blizzard,PLL,Pall Corporation,Pall taken over
2015-07-29,SIG,Signet Jewelers,DTV,DirecTV,DirecTV acquired by AT&T
2015-07-20,PYPL,PayPal,NE,Noble Corporation,PayPal Spun off by eBay
2015-07-08,AAP,Advance Auto Parts,FDO,Family Dollar,Family Dollar acquired
2015-07-06,KHC,Kraft Heinz,KRFT,Kraft Foods,Kraft merger with Heinz
2015-07-02,CPGX,Columbia Pipeline Group,ATI,Allegheny Technologies,Spin off of Columbia Pipeline
2015-07-01,JBHT,J.B. Hunt,TEG,Integrys Energy Group,Integrys taken over
2015-07-01,BXLT,Baxalta,QEP,QEP Resources,Baxalta spun off by Baxter
2015-06-11,QRVO,Qorvo,LO,Lorillard Tobacco Company,Lorillard gets acquired
2015-04-07,O,Realty Income Corporation,WIN,Windstream Communications,Market capitalization change
2015-03-23,AAL,American Airlines Group,AGN,Allergan,Allergan acquired by Actavis
2015-03-23,EQIX,Equinix,DNR,Denbury Resources,Market Capitalization Changes
2015-03-23,SLG,SL Green Realty,NBR,Nabors Industries,Market Capitalization Changes
2015-03-23,HBI,Hanesbrands,AVP,Avon Products,Market Capitalization Changes
2015-03-18,HSIC,Henry Schein,CFN,Carefusion,Carefusion acquired by Becton Dickinson
2015-03-12,SWKS,Skyworks,PETM,PetSmart,PetSmart acquired by private equity consortium
2015-01-27,HCA,HCA Holdings,SWY,Safeway,Safeway acquired by private equity consortium
2015-01-27,ENDP,Endo International,COV,Covidien,Covidien acquired by Medtronic
2014-12-05,RCL,Royal Caribbean Cruises,BMS,Bemis Company,Market cap changes
2014-11-05,LVLT,Level 3 Communications,JBL,Jabil Circuit,Market cap changes
2014-09-20,URI,United Rentals,BTU,Peabody Energy,Market cap changes
2014-09-20,UHS,Universal Health Services,GHC,Graham Holdings,Market cap changes
2014-08-18,MNK,Mallinckrodt,RDC,Rowan Companies,Market cap changes
2014-08-06,DISCK,Discovery Communications,,,Class C share distribution
2014-07-02,MLM,Martin Marietta,X,United States Steel,Market capitalization changes
2014-07-01,AMG,Affiliated Managers Group,FRX,Forest Laboratories,Actavis acquires Forest Laboratories
2014-06-20,XEC,Cimarex Energy,IGT,International Game Technology,Market capitalization changes
2014-05-08,AVGO,Avago Technologies,LSI,LSI Corporation,Avago acquires LSI
2014-05-01,UA,Under Armour,BEAM,Suntory Global Spirits,Beam acquired by Suntory
2014-05-01,NAVI,Navient,SLM,SLM Corporation,Navient Spun off from SLM
2014-04-03,GOOGL,Google,,,Google Class C share distribution
2014-04-02,ESS,Essex Property Trust,CLF,Cliffs Natural Resources,Market capitalization changes
2014-03-21,GMCR,Keurig Green Mountain,WPX,WPX Energy,Market capitalization changes
2014-01-24,TSCO,Tractor Supply,LIFE,Life Technologies,Life Technologies acquired by Thermo Fisher Scientific
2013-12-23,ADS,Alliance Data Systems,ANF,Abercrombie & Fitch,Market capitalization changes
2013-12-23,MHK,Mohawk Industries,JDSU,JDS Uniphase,Market capitalization changes
2013-12-23,FB,Facebook,TER,Teradyne,Market capitalization changes
2013-12-10,GGP,General Growth Properties,MOLX,Molex,MOLX acquired by Koch Industries
2013-12-02,ALLE,Allegion,JCP,JCPenney,Allegion spun off by Ingersoll Rand
2013-11-13,KORS,Michael Kors,NYX,NYSE Euronext,ICE Exchange acquired NYSE Euronext
2013-10-29,RIG,Transocean,DELL,Dell,Michael Dell and Silver Lake acquired Dell
2013-09-20,VRTX,Vertex Pharmaceuticals,AMD,Advanced Micro Devices,Market capitalization change
2013-09-20,AME,Ametek,SAI,SAIC,Market capitalization change
2013-09-10,DAL,Delta Air Lines,BMC,BMC Software,BMC taken private by consortium
2013-07-08,NLSN,Nielsen Holdings,S,Sprint Nextel,Softbank purchase results in public float below 50%
2013-07-01,NWSA,21st Century Fox,APOL,Apollo Education Group,Apollo Group's market cap more representative of a mid-cap
2013-06-21,ZTS,Zoetis,FHN,First Horizon,Zoetis spun off by Pfizer
2013-06-06,GM,General Motors,HNZ,Heinz,HNZ acquired by consortium
2013-05-23,KSU,Kansas City Southern,DF,Dean Foods,DF too small after spinoff of White Wave Foods
2013-05-08,MAC,Macerich,CVH,Coventry Health Care,Acquired by Aetna
2013-04-30,REGN,Regeneron Pharmaceuticals,PCS,MetroPCS,Majority of MetroPCS acquired by T-Mobile
2013-02-15,PVH,PVH,BIG,Big Lots,Market capitalization changes
2013-01-02,ABBV,AbbVie,FII,Federated Investors,ABBV spun off from Abbott Labs
2012-12-21,DLPH,Delphi Automotive,TIE,Titanium Metals,TIE acquired by Precision Cast Parts
2012-12-11,GRMN,Garmin,RRD,RR Donnelley,Market capitalization changes
2012-12-03,DG,Dollar General,CBE,Cooper Industries,Acquired by Eaton Corp
2012-10-10,PETM,PetSmart,SUN,Sunoco,Acquired by Energy Transfer Partners
2012-10-02,KRFT,Kraft Foods,ANR,Alpha Natural Resources,Kraft split into two companies
2012-10-02,MDLZ,Mondelez,KFT,Kraft Foods,Old Kraft Foods renamed Mondelez
2012-10-01,PNR,Pentair,DV,DeVry,Tyco spin-off merged w/Pentair
2012-10-01,ADT,ADT,LXK,Lexmark,Tyco spun off ADT
2012-09-05,LYB,LyondellBasell,SHLD,Sears Holdings,SHLD below public float threshold
2012-07-31,ESV,Ensco,GR,Goodrich Corporation,Goodrich acquired by United Technologies
2012-07-02,STX,Seagate Technology,PGN,Progress Energy,Acquired by Duke Energy
2012-06-29,MNST,Monster Beverage,SLE,Sara Lee Corporation,Split up of Sara Lee
2012-06-05,LRCX,Lam Research,NVLS,Novellus Systems,Acquired by Lam Research
2012-05-21,ALXN,Alexion Pharmaceuticals,MMI,Motorola Mobility,Acquired by Google
2012-05-17,KMI,Kinder Morgan,EP,El Paso Corporation,Acquired by Kinder Morgan
